;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Belgium;220308;219942;223046;231018;242308;256376;264335;273256;281200;296820;310038;325152;343619;351743;347735;363242;378745;387935;394616;404958;415538;428467;443407;459492;479445;463751;506023;563544;596321
Bulgaria;14475;10863;9935;13443;12805;14415;15907;17479;18800;21091;24040;27410;32465;37247;37418;38290;41480;42255;42056;43025;45798;48752;52502;56131;61308;61913;71378;86082;94709
Czechia;46326;53443;55168;60276;61508;67446;76169;87864;88967;96952;110474;124624;139043;161968;149415;159605;166515;163743;160419;158982;170575;179144;197030;213457;229418;220314;246141;287034;317359
Denmark;141377;147704;152899;158051;166899;177891;184152;189957;193642;202919;213378;225934;233956;242722;232270;243431;248105;254298;259530;265636;272192;282270;294351;301015;308544;312125;345234;382313;376424
Germany;1983453;1974974;1958583;2008757;2077240;2129660;2195530;2223360;2240810;2293040;2325710;2426180;2542220;2589680;2494870;2616060;2747810;2800380;2867280;2985170;3085650;3196110;3331110;3431130;3534880;3449620;3676460;3953850;4185550
Estonia;2989;3768;4553;5067;5407;6172;6982;7825;8747;9780;11346;13571;16402;16619;14133;14742;16742;18087;19163;20366;21011;22189;24316;26439;28472;27859;31456;36443;38188
Ireland;52870;59747;73097;80574;92791;108495;122089;135998;145577;156260;170307;184916;197070;187283;169520;167446;173380;176894;183193;200818;272544;276206;308523;334866;363675;382207;449217;520935;509952
Greece;104574;114997;126327;128989;139891;142911;152194;163461;178905;193716;199242;217862;232695;241990;237534;224124;203308;188381;179884;177236;176369;174494;176903;179558;183347;165016;181500;206620;220303
Spain;470068;506037;520520;552937;595242;647569;700958;749744;802683;860059;928122;1004976;1077541;1112432;1072990;1077145;1068690;1035964;1025652;1038949;1087112;1122967;1170024;1212276;1253710;1129214;1235474;1373629;1498324
France;1220219;1259799;1279456;1337767;1395148;1473517;1530071;1578330;1622313;1696108;1762048;1846021;1937876;1990000;1935840;1996075;2062141;2088287;2120352;2153733;2201402;2231819;2291681;2355363;2432207;2318276;2508102;2655435;2822455
Croatia;17523;19186;21274;22933;22184;23640;25971;28772;31030;33837;36854;40634;44439;48577;45878;46002;45761;44889;44813;44292;45516;47600;50220;53042;55777;50721;58414;67621;78049
Italy;900239;1037002;1098957;1137002;1177550;1244744;1308623;1355522;1399386;1457356;1499073;1559864;1621715;1643719;1584107;1617945;1657362;1632898;1621261;1635871;1663278;1704857;1744493;1777744;1804067;1670012;1842508;1997055;2128001
Cyprus;7595;7893;8415;9153;9840;10806;11604;12083;12870;13940;15042;16263;17589;19010;18675;19461;19858;19495;18040;17483;17944;19014;20312;21808;23401;22374;25680;29416;31340
Latvia;4006;4566;5602;6228;6864;8441;9193;9833;10020;11229;13227;16448;21597;23356;18406;17571;19024;21273;21996;22791;23744;24498;26017;28154;29567;29224;32285;36104;39072
Lithuania;5149;6644;8992;10070;10363;12566;13710;15180;16675;18313;20986;24000;29034;32683;26973;27664;31067;33240;34874;36410;37441;38821;42275;45948;49239;50265;56680;67456;73793
Luxembourg;15951;16462;17267;18008;20548;22986;23880;25011;26227;28189;30281;34175;37642;40010;39051;42403;44323;46526;49094;51791;54143;56208;58169;60121;62432;64524;72361;77529;79310
Hungary;35510;36864;41797;43474;46103;51255;60188;71822;75264;83917;90946;92006;102373;108360;94653;99532;101920;100155;102205;106341;112832;116625;127194;136450;147242;138810;154940;168635;196862
