;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Belgium;10130574;10143047;10170226;10192264;10213752;10239085;10263414;10309725;10355844;10396421;10445852;10511382;10584534;10666866;10753080;10839905;11000638;11075889;11137974;11180840;11237274;11311117;11351727;11398589;11455519;11522440;11554767;11617623;11742796
Bulgaria;8427418;8384715;8340936;8283200;8230371;8190876;8149468;7868815;7805506;7745147;7688573;7629371;7572673;7518002;7467119;7421766;7369431;7327224;7202556;7117453;7029690;6938759;6849518;6757418;6664177;6569275;6532117;6482484;6447710
Czechia;10333161;10321344;10309137;10299125;10289621;10278098;10232027;10201182;10192649;10195347;10198855;10223577;10254233;10343422;10425783;10462088;10486731;10505445;10516125;10512419;10538275;10553843;10578820;10610055;10649800;10693939;10494836;10516707;10827529
Denmark;5215718;5251027;5275121;5294860;5313577;5330020;5349212;5368354;5383507;5397640;5411405;5427459;5447084;5475791;5511451;5534738;5560628;5580516;5602628;5627235;5659715;5707251;5748769;5781190;5806081;5822763;5840045;5873420;5932654
Germany;81538603;81817499;82012162;82057379;82037011;82163475;82259540;82440309;82536680;82531671;82500849;82437995;82314906;82217837;82002356;81802257;80222065;80327900;80523746;80767463;81197537;82175684;82521653;82792351;83019213;83166711;83155031;83237124;84358845
Estonia;1448075;1425192;1405996;1393074;1379237;1401250;1392720;1383510;1375190;1366250;1358850;1350700;1342920;1338440;1335740;1333290;1329660;1325217;1320174;1315819;1314870;1315944;1315635;1319133;1324820;1328976;1330068;1331796;1365884
Ireland;3597617;3620065;3654955;3693386;3732006;3777565;3832783;3899702;3964191;4028851;4111672;4208156;4340118;4457765;4521322;4549428;4570881;4589287;4609779;4637852;4677627;4726286;4799157;4855733;4940311;5012600;5066893;5154277;5271395
Greece;10535973;10588332;10629267;10693250;10747768;10775627;10835989;10888274;10915770;10940369;10969912;11004716;11036008;11060937;11094745;11119289;11123392;11086406;11003615;10926807;10858018;10783748;10768193;10741165;10724599;10718565;10678632;10459782;10413982
Spain;39639726;39808374;39971329;40143449;40303568;40470182;40665545;41035278;41827838;42547451;43296338;44009971;44784666;45668939;46239273;46486619;46667174;46818219;46712650;46495744;46425722;46418884;46497393;46645070;46918951;47318050;47400798;47486843;48085361
France;59315139;59522297;59726386;59934884;60158533;60545022;60979315;61424036;61864088;62292241;62772870;63229635;63645065;64007193;64350226;64658856;64978721;65276983;65600350;66165980;66458153;66638391;66809816;67026224;67290471;67473651;67728568;67957053;68172977
