Date;Apple;Amazon;BMW;Ford;Google;IBM;Mercedes;Meta;Microsoft;Oracle;SAP
02.01.13;19,61;12,87;75,93;13,20;18,10;187,72;35,43;28,00;27,62;34,69;82,40
03.01.13;19,36;12,92;75,61;13,46;18,11;186,68;35,31;27,77;27,25;34,31;80,45
04.01.13;18,82;12,96;75,80;13,57;18,47;185,46;35,46;28,76;26,74;34,61;80,42
07.01.13;18,71;13,42;75,75;13,43;18,39;184,65;35,82;29,42;26,69;34,43;79,79
08.01.13;18,76;13,32;73,21;13,35;18,35;184,39;35,35;29,06;26,55;34,44;79,89
09.01.13;18,47;13,32;72,16;13,47;18,47;183,86;35,52;30,59;26,70;34,46;80,05
10.01.13;18,70;13,27;72,89;13,83;18,56;184,40;35,67;31,30;26,46;34,91;82,40
11.01.13;18,58;13,40;73,22;14,00;18,52;185,90;35,84;31,72;26,83;34,86;81,78
14.01.13;17,92;13,64;73,22;13,99;18,10;184,15;36,31;30,95;26,89;34,96;81,88
15.01.13;17,35;13,60;72,48;14,30;18,14;184,03;36,42;30,10;27,21;34,70;77,55
16.01.13;18,07;13,45;73,10;14,22;17,90;184,12;36,36;29,85;27,04;34,64;78,13
17.01.13;17,95;13,52;74,06;14,22;17,80;185,13;36,50;30,14;27,25;34,62;77,67
18.01.13;17,86;13,61;73,33;14,11;17,63;185,92;36,05;29,66;27,25;35,11;77,38
21.01.13;;;74,28;;;;35,93;;;;
22.01.13;18,03;13,51;74,16;14,17;17,59;187,46;35,77;30,73;27,15;34,93;77,52
23.01.13;18,36;13,41;74,34;13,88;18,56;195,72;35,89;30,82;27,61;34,69;78,62
24.01.13;16,09;13,67;74,63;13,87;18,87;195,43;35,98;31,08;27,63;34,94;78,50
25.01.13;15,71;14,20;75,85;13,68;18,86;195,96;36,43;31,54;27,88;35,38;80,99
28.01.13;16,07;13,80;75,50;13,78;18,79;195,92;36,56;32,47;27,91;35,54;80,36
29.01.13;16,37;13,02;75,58;13,14;18,86;194,93;36,64;30,79;28,01;35,78;81,22
30.01.13;16,32;13,64;74,91;12,93;18,86;194,57;36,22;31,24;27,85;35,38;81,55
31.01.13;16,27;13,27;74,15;12,95;18,91;194,14;35,66;30,98;27,45;35,51;82,02
01.02.13;16,20;13,25;74,48;13,02;19,41;196,16;36,14;29,73;27,93;36,21;83,57
04.02.13;15,80;13,00;72,03;12,88;18,99;194,83;35,22;28,11;27,44;35,13;81,44
05.02.13;16,35;13,34;71,86;13,18;19,16;193,87;35,10;28,64;27,50;35,48;81,88
06.02.13;16,33;13,11;71,77;13,20;19,27;192,18;35,77;29,05;27,34;35,10;80,16
07.02.13;16,72;13,01;71,74;13,07;19,37;190,96;36,77;28,65;27,28;34,56;79,74
08.02.13;16,96;13,10;73,50;13,10;19,65;192,81;37,89;28,55;27,55;34,90;79,92
11.02.13;17,14;12,86;72,07;13,11;19,58;191,36;37,42;28,26;27,86;34,96;79,24
12.02.13;16,71;12,94;71,52;13,08;19,54;191,24;36,91;27,37;27,88;35,11;80,93
13.02.13;16,68;13,47;72,15;13,04;19,59;191,29;37,59;27,91;28,03;34,99;80,67
14.02.13;16,66;13,46;71,68;13,11;19,72;190,87;36,79;28,50;28,04;34,90;80,07
